Time_min,ReactorTemp,Pressure_bar,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Feed_Flow_m3_s,Coolant_delatT_K
0.0,313.1344999565504,1.2,8.916666666666666,800,0.0,0.0,5.077143200000023
0.5,313.0484062552657,1.2068499811797435,8.99385510316914,800,0.0172840196179008,0.0025769055315507,8.388683228571438
1.0,314.553892072741,1.3153650677085398,9.073283745042366,800,0.6765246527215011,0.0026442526065644,11.379812806802704
1.5,317.2653217827381,1.5,9.149090702040914,800,0.9908768347785708,0.0024854641734865,14.08108758710722
2.0,321.2271005142119,1.5,9.225605949598956,800,1.0,0.0025853722696196,16.519992540716032
2.5,327.3058092601459,1.5,9.302635271365126,800,0.9958101216127284,0.0025591546825885,15.426475641600234
3.0,333.9430498524686,1.5,9.379471525025163,800,1.0,0.0025958273993837,15.89537209478118
3.5,338.4703477677544,1.5,9.456763065325848,800,0.989866617227292,0.0025287559823881,18.140563961944906
4.0,342.2202380325631,1.5,9.535722150418378,800,0.9953107647895916,0.0026753710773216,20.166929117950133
4.5,345.27366266633754,1.5,9.611767722999993,800,0.9938219533009712,0.0024777957629145,21.995525192431103
5.0,348.1880115700173,1.5,9.688733925527078,800,0.9882069066622492,0.0025127491625064,23.64497330743768
5.5,350.62857905435044,1.5,9.765947089656969,800,0.99034940082029,0.0024989292276593,24.884455240062664
6.0,352.88647889484724,1.5,9.841116569941596,800,0.989855347989076,0.0025191698708462,24.439170807675737
6.5,355.38229188107624,1.5,9.917772847903786,800,0.9881572163942992,0.002547731223193,25.837389940278058
7.0,358.13568511570884,1.5,9.995101858697344,800,0.990432852068326,0.0025897079822497,27.097455650727795
7.5,357.9402356949212,1.5,10.073211172489763,800,1.0,0.0026457276287152,28.23231756018231
8.0,358.1275565255184,1.5,10.152204040227948,800,1.0,0.0026177881995647,27.136969344926854
8.5,357.70491712428424,1.5,10.228711353458776,800,1.0,0.0025689756792681,25.582786340648113
9.0,358.2374162112343,1.5,10.305882851624249,800,1.0,0.0025916056763251,26.841997422491147
9.5,357.74705044401,1.5,10.382970488799154,800,1.0,0.0025306235269747,27.976688553682493
10.0,358.20047868229364,1.5,10.460606954384032,800,0.9985756717624644,0.0025806135647843,27.821305767617503
10.5,357.630349819219,1.5,10.53745517929041,800,1.0,0.0025458352287917,27.615999599272982
11.0,358.06658660669353,1.5,10.613774028895351,800,0.9881338062392182,0.0024710467918783,28.658417008866024
11.5,357.63507914310793,1.5,10.690806988430914,800,0.999814882442293,0.0025694528094914,29.596801474688334
12.0,358.3561838006132,1.5,10.767079907508238,800,1.0,0.0025860629109458,30.44094867709896
12.5,357.84255450773315,1.5,10.845087166733125,800,0.9908951030638418,0.0026594442397264,29.243059726899048
13.0,358.15054006659625,1.5,10.921671610943845,800,1.0,0.0026094559324739,30.108993610051527
13.5,357.804189212553,1.5,10.9991699585552,800,1.0,0.0025131822631472,30.88762998052283
14.0,358.2064497052106,1.5,11.077174567114614,800,0.9906658515328371,0.0025978920045193,31.587412306187332
14.5,357.70353531388224,1.5,11.155595930833917,800,1.0,0.0026063034342821,32.21593671512187
15.0,358.2538702451271,1.5,11.231386607870933,800,0.997656277803818,0.002463778341553,32.779895323205494
15.5,357.712526642889,1.5,11.309135740068522,800,0.9992463687883528,0.0025663233397938,33.28553079718591
16.0,358.1995999362251,1.5,11.38596881865472,800,0.988384688206152,0.0026127157836358,32.622928359358696
16.5,357.8891213455396,1.5,11.46266793212991,800,0.9928912041265724,0.0025317065954797,33.13237361084833
17.0,358.3138396097081,1.5,11.539708950075768,800,1.0,0.0025723685338276,33.58863383838661
17.5,357.7306808439554,1.5,11.618740659599236,800,0.997215995228124,0.0027233955378014,33.99671039663548
18.0,358.125808831518,1.5,11.695632839020735,800,0.994127591455188,0.0025167770245799,32.597848235051174
18.5,357.7995828356063,1.5,11.770894543573156,800,0.9986365976683452,0.0024466235265931,29.97682870790345
19.0,358.16905740133467,1.5,11.84898538027106,800,1.0,0.0026378806018743,30.916970116674577
19.5,357.9001680062291,1.5,11.9262183530951,800,0.9981979322054044,0.0024595325742563,31.762548562705547
20.0,358.1057337554225,1.5,12.003869032622536,800,1.0,0.0025373481405908,32.522610413876464
20.5,357.7652148870815,1.5,12.081099109165672,800,1.0,0.0025994540751363,33.20517986017393
21.0,358.1414496136171,1.5,12.159070368606304,800,1.0,0.0026422044659957,30.522597502062126
21.5,357.67152679796305,1.5,12.236602940606929,800,1.0,0.0026211594305335,29.55376806377052
22.0,358.2440602108119,1.5,12.313107430680777,800,0.9958011294741764,0.0026158690219044,30.498160314839993
22.5,358.0726913722425,1.5,12.390721161662531,800,1.0,0.002586377343773,31.347611532474275
23.0,358.0208602429192,1.5,12.467805685048436,800,1.0,0.0025662786921108,32.11138071033389
23.5,358.04263125669894,1.5,12.544469227058125,800,0.9865940963602844,0.0025540342584085,32.79741401411161
24.0,357.95601518019544,1.5,12.62204979259693,800,1.0,0.0025385819151527,33.16523492705335
24.5,358.0818252119132,1.5,12.699386263960225,800,1.0,0.002635807725425,31.931304810191136
25.0,358.0308081762276,1.5,12.776983135463578,800,1.0,0.0026229264647457,32.6159873711253
25.5,358.0474780273754,1.5,12.85471492408404,800,1.0,0.0026782980742754,33.23047237387527
26.0,357.99104464432907,1.5,12.93083583752224,800,0.9951971942745764,0.0025349623674638,33.781237452553796
26.5,358.21684021492285,1.5,13.007978022420666,800,0.9874656401281324,0.0025994524940896,32.157420676120125
27.0,358.1081954919294,1.5,13.085133711183362,800,1.0,0.0025971045732549,30.125099449822983
27.5,357.9912615279787,1.5,13.163071081626637,800,1.0,0.002529512411738,30.95170928317316
28.0,358.02229095640064,1.5,13.239442564152313,800,1.0,0.0025941075021989,31.69499928477569
28.5,358.00782016346426,1.5,13.317084235392844,800,0.9944192747809448,0.0026607218624411,31.185491667177985
29.0,358.14970168506994,1.5,13.395037447937655,800,0.9860801250383086,0.0025408310676118,30.659786841732455
29.5,358.06100789721836,1.5,13.471099268057012,800,1.0,0.0025374635448775,31.41231975204363
30.0,358.2608739044784,1.5,13.549181568070814,800,0.995310051376988,0.0025739288057942,32.088427766134714
30.5,358.26258089742817,1.5,13.626400985222087,800,0.9943816329452914,0.0025292397158051,32.69527722650281
31.0,358.0536057240993,1.5,13.70371037330644,800,0.9771948458776816,0.0025949729577761,31.28269031921684
31.5,358.244622802241,1.5,13.780874981855362,800,1.0,0.0025805107458334,31.95437366976762
32.0,358.127419526323,1.5,13.857349881122882,800,0.98657989189804,0.0025492787754922,32.55725955836118
32.5,358.16036316934475,1.5,13.934691548092305,800,0.993577194473188,0.0025656590455399,33.098029543279154
33.0,358.24108958814674,1.5,14.011026053162,800,0.9988754633068188,0.0024888722198236,33.58268564391926
