Time_min,ReactorTemp,Pressure_bar,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Feed_Flow_m3_s,Coolant_delatT_K,fault_type
0.0,315.50884162004616,1.2,8.916666666666666,800,0.0,0.0,5.077143200000023,0
0.5,315.86939766337315,1.2467379891684278,8.994520551705525,800,0.4134298862880733,0.0006440496134659,8.388683228571438,0
1.0,317.9487502677275,1.3733689945842138,9.07062088613676,800,0.9938917664552982,0.0012627658675139,11.379812806802704,0
1.5,321.6584414678225,1.436684497292107,9.14931481799548,800,1.0,0.0017420774162794,14.08108758710722,0
2.0,326.04342074105375,1.4683422486460531,9.225946343255709,800,0.9805338046824508,0.0020595943617559,16.519992540716032,0
2.5,330.3055367394575,1.484171124323027,9.302288856988069,800,1.0,0.0022527349095957,15.426475641600234,0
3.0,334.1301647947618,1.4920855621615132,9.379921393847065,800,1.0,0.0023981840960198,15.89537209478118,0
3.5,337.79512703761725,1.4960427810807566,9.457142644782795,800,0.9954072054430247,0.0024856826847123,18.140563961944903,0
4.0,339.8886690067682,1.4980213905403783,9.534854685653595,800,1.0,0.0025408329832224,20.166929117950133,0
4.5,344.4122366308425,1.4990106952701892,9.61192423973293,800,0.996271132005066,0.002564920037825,21.995525192431103,0
5.0,347.866072695474,1.4995053476350946,9.689656931582052,800,0.9926741328012664,0.0025593844470766,23.64497330743768,0
5.5,354.44526858961456,1.4997526738175473,9.766554238456507,800,0.9937765203830288,0.0025521215782122,24.884455240062664,0
6.0,356.7638820132081,1.4998763369087738,9.84315954372413,800,0.9915871044913632,0.0025622984223813,24.439170807675737,0
6.5,357.3446054475736,1.4999381684543869,9.920080392894564,800,0.9971430971678448,0.0025791448383348,25.837389940278054,0
7.0,358.7886263192616,1.499969084227193,9.997715991563812,800,0.98043373786003,0.0025797940822739,27.097455650727795,0
7.5,359.63901091387334,1.4999845421135969,10.07421169313398,800,0.997160552876966,0.002562330498974,28.23231756018231,0
8.0,359.84655325395454,1.4999922710567983,10.15061893954665,800,1.0,0.0025626133588226,27.136969344926857,0
8.5,359.86362255252646,1.499996135528399,10.226254430208618,800,1.0,0.0025755965943064,25.582786340648113,0
9.0,360.29499010855176,1.4999980677641995,10.304688037804713,800,1.0,0.0025960089145335,26.841997422491147,0
9.5,360.2646485538508,1.4999990338820997,10.38148481042858,800,1.0,0.0025807344696926,27.976688553682493,0
10.0,359.3814843893832,1.4999995169410498,10.457937976709529,800,0.9981438623851158,0.002561225584554,27.821305767617503,0
10.5,360.0499052955961,1.499999758470525,10.534961874538688,800,1.0,0.002566943560497,27.615999599272985,0
11.0,359.9769175626274,1.4999998792352625,10.61221316392811,800,1.0,0.0025970468639156,28.658417008866024,0
11.5,360.02089567148573,1.4999999396176311,10.689768770676103,800,1.0,0.0025959702554962,29.596801474688338,0
12.0,359.4475027221502,1.4999999698088156,10.767838916872236,800,0.9864710790390232,0.0025919635870173,30.44094867709896,0
12.5,359.047397462997,1.4999999849044077,10.845632688953708,800,1.0,0.0026008508633608,29.243059726899048,0
13.0,360.10293695311987,1.4999999924522038,10.923861624437384,800,1.0,0.0026041505888221,30.108993610051527,0
