Time_min,ReactorTemp,Pressure_bar,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Feed_Flow_m3_s,Coolant_delatT_K,fault_type
0.0,314.53221432835704,1.2,6.869399428026692,800,0.0,0.0,5.077143200000023,0
0.5,314.8497124801453,1.2152185154058588,6.9009762207943695,800,0.0550548984498532,0.0002599368498731,8.388683228571438,0
1.0,316.0336659119314,1.239952897540097,6.933023492371002,800,0.4294117265268034,0.0005270272271037,11.379812806802704,0
1.5,315.7779568200557,1.2693028422638304,6.9651405487129345,800,0.7441172898400943,0.0007256442398985,14.08108758710722,0
2.0,315.5337621838602,1.3002953590254094,6.997110308099147,800,0.8839764312184262,0.0008605476450371,16.519992540716032,0
2.5,317.13771881816217,1.331765841738732,7.029336133024573,800,1.0,0.0009518336470069,15.426475641600234,0
3.0,317.55934554223444,1.3633003809312427,7.061682712264869,800,1.0,0.0010123057026878,15.89537209478118,0
3.5,317.7954496172409,1.394853136175528,7.094153572741377,800,0.9988415359404604,0.0010428698272766,18.140563961944903,0
4.0,318.11787178822345,1.4250468172969537,7.125502029625002,800,0.992248744989782,0.0010515490152444,20.166929117950133,0
4.5,318.6190467429898,1.454861423446526,7.158041445781988,800,1.0,0.0010591152907046,21.995525192431103,0
5.0,319.6412926139173,1.477430711723263,7.189908602807292,800,0.9997345637176372,0.0010598360839862,23.64497330743768,0
5.5,319.2020897409121,1.4887153558616315,7.222240594376247,800,0.9882322111149632,0.0010736765628181,24.884455240062664,0
6.0,319.80103623499747,1.494357677930816,7.254417095308767,800,0.9923203312481385,0.0010743350153033,24.439170807675737,0
6.5,319.6217947158814,1.497178838965408,7.286411974740224,800,1.0,0.0010721224468983,25.837389940278054,0
7.0,320.2339125520158,1.498589419482704,7.318474153218583,800,1.0,0.0010759962047199,27.097455650727795,0
7.5,319.6557017052374,1.499294709741352,7.350667513810071,800,1.0,0.0010717262086502,28.23231756018231,0
8.0,320.55225085523847,1.499647354870676,7.382525344754541,800,1.0,0.0010728826024,27.136969344926857,0
8.5,320.6960474096909,1.499823677435338,7.414532951428833,800,0.991390926638356,0.0010718791606649,25.582786340648113,0
9.0,320.3880605321738,1.499911838717669,7.446688905720378,800,1.0,0.0010627235036197,26.841997422491147,0
9.5,321.5522596389768,1.4999559193588343,7.478320135796377,800,1.0,0.0010570229134824,27.976688553682493,0
10.0,321.8059925899581,1.4999779596794172,7.510405147205726,800,0.9877462909022684,0.0010526749738685,27.821305767617503,0
10.5,321.8317704351614,1.4999889798397086,7.542497702099532,800,1.0,0.0010524798613673,27.615999599272985,0
11.0,322.43742580708016,1.4999944899198543,7.574371282782615,800,1.0,0.001053871914449,28.658417008866024,0
11.5,322.73790204008617,1.499997244959927,7.606745187624733,800,0.9924438369025644,0.0010628493459792,29.596801474688338,0
12.0,322.4191380247141,1.4999986224799635,7.638957728373626,800,0.9700155469885148,0.0010742583414823,30.44094867709896,0
12.5,323.5498798028126,1.4999993112399816,7.671528470355963,800,0.9798317943730086,0.0010784629510256,29.243059726899048,0
13.0,323.6573739172169,1.4999996556199908,7.703549361013078,800,1.0,0.0010814824464983,30.108993610051527,0
13.5,323.4719275592144,1.4999998278099955,7.7358710733484415,800,1.0,0.0010806884579964,30.88762998052283,0
14.0,324.4577114488407,1.4999999139049978,7.767978089793512,800,1.0,0.0010734857832419,31.587412306187332,0
14.5,324.37607584989485,1.4999999569524989,7.800273548748656,800,0.99393100308841,0.0010758673541802,32.21593671512187,0
15.0,323.91099566752155,1.4999999784762494,7.832524933530568,800,1.0,0.0010709316336631,32.779895323205494,0
