Time_min,Temperature_K,Temperature_Measured_K,Temperature_Setpoint_K,Pressure_bar,Benzene_Concentration_mol_m3,NitricAcid_Concentration_mol_m3,Volume_m3,Agitator_Speed_rpm,Coolant_Flow_m3_s,Coolant_In_Temp_K,Coolant_Out_Temp_K,Feed_Flow_m3_s
0.0,313.15,313.3432800546663,313.15,1.2,11214.953271028038,0.0,8.916666666666666,800,0.0,298.15,298.15,0.0
0.1,313.0169665952263,313.04000486162107,313.18333333333334,1.1893573276181042,11194.902708117164,11.86938591792027,8.932608256581013,800,0.12448289546125534,298.15,298.3737766410476,0.0026569316523910695
0.2,313.14483836554786,313.2177335361438,313.21666666666664,1.1995870692438302,11172.996446935747,21.116079771895897,8.948222523393225,800,0.0,298.15,313.0169665952263,0.0026023778020354553
0.30000000000000004,313.4375626488928,313.45122652516767,313.25,1.2230050119114275,11149.368000572798,28.4148457095823,8.963777932056496,800,0.0,298.15,313.14483836554786,0.002592568110545219
0.4,313.81977698566095,313.83262153701395,313.2833333333333,1.253582158852878,11124.53522686297,33.86703458601532,8.979063360982341,800,0.13583156349605718,298.15,298.36273099473004,0.0025475714876409057
0.5,314.31844972921067,314.27767719937077,313.31666666666666,1.2934759783368555,11098.18511524399,38.03792722741004,8.994520551705525,800,0.41342988628807337,298.15,298.2230259138359,0.0025761984538639235
0.6000000000000001,314.92719488797206,314.890072595342,313.34999999999997,1.3421755910377668,11070.76877739814,40.803459405619726,9.009858707411242,800,0.7667018747417923,298.15,298.1906366875203,0.0025563592842859917
0.7000000000000001,315.6363712256001,315.5835599082926,313.3833333333333,1.3989096980480098,11042.277131175679,42.35184444326065,9.025176936661481,800,0.9926775298085208,298.15,298.1815152033487,0.0025530382083732593
0.8,316.43444013313393,316.3204106814321,313.41666666666663,1.4627552106507165,11012.64895713427,42.862446645419794,9.040597865855984,800,1.0,298.15,298.1827692327727,0.0025701548657504347
0.9,317.31659740548014,317.5838652678106,313.45,1.5,10982.388527223475,42.15669042406879,9.055771696039608,800,1.0,298.15,298.18408735251853,0.0025289716972707694
1.0,318.26700533064826,318.0621604140514,313.4833333333333,1.5,10951.754353866061,40.347951846517105,9.07062088613676,800,0.9938917664552982,298.15,298.18632792655075,0.002474865016192048
1.1,319.25738797637797,319.0553750317572,313.51666666666665,1.5,10919.412046859612,38.5926997480812,9.086429319471465,800,0.9982391249320658,298.15,298.1882869841944,0.0026347388891175046
1.2000000000000002,320.3003992394089,320.3969029102463,313.54999999999995,1.5,10886.559252592486,36.06414374669055,9.10215664452858,800,1.0,298.15,298.19018145141104,0.0026212208428526918
1.3,321.3734974407621,321.4317750124837,313.5833333333333,1.5,10852.692539357009,33.4484563853028,9.118420842326614,800,0.9945645168144692,298.15,298.19069502825005,0.0027106996330056934
1.4000000000000001,322.4738263271628,322.28382384013514,313.6166666666666,1.5,10819.402306958013,29.884793193718348,9.133947043144312,800,0.9923831310041297,298.15,298.1947048802563,0.0025877001362830812
1.5,323.5527151091358,323.60710543958754,313.65,1.5,10786.50869398897,26.314396691185372,9.14931481799548,800,1.0,298.15,298.1977147830472,0.002561295808527965
1.6,324.59492277405326,324.5562597058436,313.68333333333334,1.5,10754.292999753343,22.96623937254084,9.16449477377143,800,0.982710819664226,298.15,298.19848466029845,0.0025299926293249693
1.7000000000000002,325.57975322485856,325.41551089668997,313.71666666666664,1.5,10722.6197226152,20.19816421446149,9.179745056429642,800,0.9870299972246613,298.15,298.2004048715669,0.002541713776368707
1.8,326.50965664582384,326.21329835130706,313.75,1.5,10691.12208248674,18.168316979876906,9.195343988989373,800,1.0,298.15,298.20130595913724,0.0025998220932885834
1.9000000000000001,327.40871918762286,327.45813502137315,313.7833333333333,1.5,10660.200188717628,16.24978833378684,9.210749341359186,800,1.0,298.15,298.20374571448264,0.0025675587283022355
2.0,328.2680915379495,328.20559065356514,313.81666666666666,1.5,10629.97706748126,14.54206825148996,9.225946343255707,800,0.9805338046824507,298.15,298.2071644266077,0.0025328336494201843
2.1,329.0820769350135,329.1542623662452,313.84999999999997,1.5,10599.852509673048,13.470480127118133,9.24148101449866,800,0.9863904329804714,298.15,298.2079429477227,0.0025891118738256003
2.2,329.88281549492234,329.818435977484,313.8833333333333,1.5,10569.899348347923,12.386214056282965,9.256969331694247,800,1.0,298.15,298.2106603505007,0.0025813861992645525
2.3000000000000003,330.672024775672,330.75565578130653,313.91666666666663,1.5,10540.469938611888,11.244294349269563,9.272196677195659,800,1.0,298.15,298.2091265050729,0.002537890916902024
2.4000000000000004,331.4267258611167,331.4992521495789,313.95,1.5,10511.682796169383,10.238823643876168,9.287201019342236,800,0.9902479790603061,298.15,298.212987110144,0.002500723691096213
2.5,332.14784178625814,332.1235030202155,313.9833333333333,1.5,10483.183900567039,9.585930680628657,9.302288856988067,800,1.0,298.15,298.2135668780601,0.0025146396076386763
2.6,332.8592130774264,332.96570979526723,314.01666666666665,1.5,10454.468303720629,9.142562847144806,9.317657491734213,800,0.9908818768849318,298.15,298.21464800666604,0.00256143912435776
2.7,333.58601647477667,333.59722300308493,314.04999999999995,1.5,10425.935810607258,8.331217443453653,9.332776436254962,800,0.998000440223918,298.15,298.2134852139702,0.0025198240867914125
2.8000000000000003,334.2671910376238,334.21891600740787,314.0833333333333,1.5,10397.39699264155,8.102509938714855,9.348266785683585,800,0.9895486127413797,298.15,298.2191541575773,0.0025817249047703603
